BBL,LotArea_12,availFAR_perc_12
2039320163,8748,94.7
2029070061,5000,100
2027520002,5000,79.7
2040470001,6792,78.4
2031390019,13200,100
2037560069,5000,75.2
2039740050,6144,100
2027360011,25255,65
2034780050,9808,58.3
2028330001,9703,70.9
2028760171,6222,100
2030170068,14411,100
2028720245,5000,100
2025160023,7217,82.3
2031000060,5483,86.9
2031140044,8067,88.1
2027720219,15635,50
2027680105,25000,50
2027690013,10000,50
2028410078,6909,90.7
2027410050,6366,100
2023200032,7566,50
2030600039,7500,100
2030510043,6236,83.4
2028790101,8233,68.8
2032120115,27759,100
2039310058,5001,80.2
2040580002,6650,59
2039350056,5234,70.4
2026030173,11925,100
2028710073,10648,100
2024990104,46530,99.4
2027750208,10000,50.5
2028420051,9000,79.1
2026010065,8106,61.2
2025900089,32500,61.5
2039360032,20625,81.5
2037330001,10976,63.2
2029340007,7297,100
2031490042,5139,100
2026230033,10115,71.2
2042480056,9458,100
2023500034,37260,64.1
2036920054,5665,68.3
2036910037,5152,55
2027720115,10125,92
2030580040,21513,100
2029300026,28984,94
2039960045,7700,86.8
2025060100,5001,100
2023890014,6110,100
2036210058,22365,100
2039210001,39445,99.6
2039330058,5684,82.7
2039300059,14200,78.2
2041400007,5000,100
2031880029,10855,70.9
2027630108,19668,100
2024210020,7300,94.5
2030910087,11160,75
2023070046,8090,59.3
2036820036,5150,100
2027490057,12000,59
2031790035,15000,NA
2028770552,5113,63.4
2043180008,11700,71.5
2027360082,10017,50
2026230004,27184,84.6
2037550046,5325,73.6
2028630028,6000,52.6
2025630031,32693,100
2023820037,5000,100
2037940115,18375,60.1
2036520026,14900,100
2027720102,53600,65.5
2026210032,7667,100
2042350022,7075,80.2
2043240041,5200,80.2
2029030013,10016,100
2027640037,5189,50
2024220059,6332,92.4
2037000026,10308,100
2027370065,5000,50
2030480039,6388,100
2027740306,5000,100
2039340046,6962,62.1
2026760069,7107,100
2037570032,5325,66.4
2040960022,6242,62.2
2030940040,6013,100
2031210060,12358,91.4
2029270036,14450,56.1
2027610126,17500,100
2038110032,5124,79.2
2030480041,6388,100
2042830001,16700,95.9
2029390006,10140,52
2034590004,5000,65
2025090044,8269,100
2038190024,5150,64.8
2034960042,5000,65.6
2027720020,11300,98.5
2032440145,45608,100
2025260012,8313,70.9
2030680001,10122,71.6
2030090025,20000,67
2040070015,26850,100
2027680034,17500,100
2030370050,7050,100
2026030180,21000,50
2037540001,39900,100
2027010001,22700,90.4
2024110029,22500,100
2032080039,10000,71.5
2027200076,9350,86.9
2040970043,5000,60
2029230035,5182,100
2028720149,5000,65.1
2023410034,5842,84.9
2030610091,19400,66
2031060028,11818,80.5
2028770396,6438,68.8
2029800021,5000,82.6
2028570006,8669,100
2026740017,7500,71.8
2029800015,5000,84
2027740246,22500,50
2027680023,25000,80
2026030200,22500,50
2025630056,10000,50
2030680071,10785,100
2030450054,9750,50.8
2038830018,5000,84.8
2029260002,57000,71.5
2026410025,11740,79.4
2039350064,10467,60.5
2027360138,20033,75
2026000089,30917,87
2039110001,158170,NA
2038580029,10851,80
2028720251,8385,70.9
2023880071,5490,100
2029490083,5250,100
2027640001,29527,62
2040810018,6220,62
2030320075,15444,100
2028710002,59050,78
2037900011,5150,73.6
2036920001,10822,81.7
2040420254,53000,100
2031240069,5000,89
2028870144,7340,77.6
2023200066,11500,97.9
2042450001,5000,67.3
2027650056,32397,50.5
2027640086,22500,100
2032040042,5000,55.6
2024200170,16315,100
2031640029,5200,80.6
2028770429,5217,70.4
2027040039,5344,80.5
2026630022,7500,72.4
2030170001,48800,86
2026100001,22925,81.4
2030480014,5530,100
2027590045,24406,93
2027310005,42985,100
2027720025,14300,71
2025610001,29400,100
2025220117,5000,NA
2038160023,5150,72
2037480002,31236,82.3
2030860018,5000,86.3
2027680087,5000,50
2027710215,5000,50
2027770600,77300,100
2039740048,6100,100
2029920018,21141,78.2
2031140009,40881,51.7
2034327503,249172,93.3
2038210040,5270,68.8
2029310017,6240,84.8
2040980013,5000,57.8
2031560007,6854,75.1
2031260028,28151,81.7
2041460001,24624,100
2040440001,9500,76
2029310072,6240,70.4
2028690016,10362,86.3
2025980086,5000,100
2038830012,6900,86.8
2027770200,58000,65.5
2025080037,7500,100
2026770026,9650,58.8
2028870142,5125,100
2038050169,11449,86.4
2028510002,12528,66.3
2026080030,5025,100
2042350036,6732,100
2040660012,5000,53.3
2027770180,5000,50
2024760057,10900,77.9
2034420087,5100,58.3
2040410001,8425,75
2042940010,5000,52.2
2025660014,8000,100
2025620075,10349,55
2027740335,5000,100
2039630064,8200,83.5
2030650013,15007,72.4
2041780019,5000,90.7
2040760012,18550,93.8
2026000101,5000,91.6
2037670072,8029,78.4
2042780026,8500,55.6
2030430022,7581,94.3
2030220054,11609,100
2028770477,12283,100
2027720057,5000,82.5
2037390063,10000,100
2023140054,7192,58.8
2037370038,10035,58.8
2041960011,5336,58.8
2031860044,7500,60
2027680060,15000,58.5
2029780182,6428,70.9
2028920008,5231,81.7
2025920035,50000,50.5
2026710074,5170,74.5
2025640010,6340,100
2025220065,7490,80.2
2026970031,5575,70.9
2038140017,14346,68.8
2025990087,165000,99
2024470053,7455,61.3
2038270101,38473,83.5
2031990046,5000,100
2029770164,5000,100
2025680020,18571,100
2026800013,39086,63.8
2023850038,8883,92.7
2025750065,53244,60
2042090012,9270,66
2042420022,5000,63.6
2030630102,82777,NA
2028590046,13860,50
2027740337,7500,100
2027740142,10000,62.5
2025070011,7500,85.2
2028720247,5200,100
2025360037,5000,100
2027360283,25575,100
2029820032,7500,97.7
2029820029,7500,92.7
2030380038,9953,70.7
2028090045,8704,85.9
2027360109,10017,50
2024430300,5860,100
2027750230,15000,100
2037800029,15000,88.1
2039970053,10965,100
2032150032,16383,58.8
2029050041,14724,100
2028680139,7751,71.5
